Columna1,Solute_ID,Formula,Solute_Mol_Mass,Num_Cations,Num_Anions,Cation,Anion,Num_Particles,Cation_Charge,Anion_Charge,Temperature_K,Solvent_Name,Solvent_Mol_Mass,Molal,Salt_Mole_Fraction,Ion_Mole_Fraction,Solvent_Mole_Fraction,Molar,Logarithmic_Concentration,Weight_Percent,Mass_Ratio,Ionic_Strength,Molal_Activity_Coefficient,MAC_Num_Sig_Figs,Osmotic_Coefficient,OC_Num_Sig_Figs,Rational_Activity_Coefficient,Rational_Coefficient,Solvent_Activity
10,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,1.2,0.021160873,0.041444,0.958556,,2.349521827,0.107582,0.120551,1.2,0.858,3,1.072,4,0.895097,1.09503812,0.954707756
11,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,1.4,0.024600922,0.04802,0.95198,,2.731639631,0.123302,0.140644,1.4,0.9,3,1.106,4,0.945399,1.133683798,0.94573772
12,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,1.6,0.028016877,0.054506,0.945494,,3.111122156,0.138477,0.160735,1.6,0.947,3,1.141,4,1.001594,1.173588869,0.936339645
13,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,1.8,0.031408989,0.060905,0.939095,,3.488074203,0.153136,0.180828,1.8,0.998,3,1.175,4,1.062725,1.212709377,0.926626229
14,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,2,0.034777507,0.067217,0.932783,,3.862426132,0.167305,0.200919,2,1.055,4,1.21,4,1.131024,1.253099042,0.916499278
15,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,2.5,0.043097181,0.082633,0.917367,,4.787473117,0.200735,0.25115,2.5,1.227,4,1.305,4,1.337524,1.36293539,0.889096056
16,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,3,0.051274658,0.097547,0.902453,,5.69731182,0.231584,0.301379,3,1.448,4,1.406,4,1.604517,1.480699267,0.859008038
17,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,3.5,0.059313554,0.111984,0.888016,,6.592488051,0.260141,0.35161,3.5,1.726,4,1.511,4,1.943661,1.604405075,0.826506084
18,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,4,0.067217362,0.125967,0.874033,,7.473497309,0.286651,0.40184,4,2.08,3,1.622,4,2.379774,1.736266743,0.791547016
19,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,4.5,0.074989458,0.139516,0.860484,,8.340711737,0.311327,0.45207,4.5,2.53,3,1.738,4,2.940208,1.875379458,0.754428326
